TSC_CCS Type,TSC_CCS Code,Sector,TSC_CCS Category,TSC_CCS Title,TSC_CCS Description,Proficiency Level,Proficiency Description,Knowledge / Ability Classification,Knowledge / Ability Items
tsc,WST-BIN-4021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",4,Manage medium scale projects by implementing appropriate methodologies and tools,knowledge,Scoping and requirements of medium sized projects
tsc,WST-BIN-4021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",4,Manage medium scale projects by implementing appropriate methodologies and tools,knowledge,Project stakeholder engagement techniques
tsc,WST-BIN-4021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",4,Manage medium scale projects by implementing appropriate methodologies and tools,ability,"Develop realistic project plans based on assessments of project objectives, scope and potential interdependencies with other projects"
tsc,WST-BIN-4021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",4,Manage medium scale projects by implementing appropriate methodologies and tools,ability,Set up timely touchpoints to engage internal and external stakeholders that impact or are impacted by the project process and outcomes
tsc,WST-BIN-4021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",4,Manage medium scale projects by implementing appropriate methodologies and tools,ability,"Coordinate the completion of project deliverables within agreed cost, timescale and resources"
tsc,WST-BIN-5021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",5,Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies,ability,Develop project-specific risk management plans
tsc,WST-BIN-5021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",5,Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies,knowledge,Current methodologies and tools in industry
tsc,WST-BIN-5021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",5,Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies,knowledge,Best practices in end-to-end project management
tsc,WST-BIN-5021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",5,Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies,ability,"Identify project implications, and manage and coordinate project interdependencies with other projects or modules"
tsc,WST-BIN-5021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",5,Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies,ability,Develop stakeholder engagement plans to secure buy-in and support of critical stakeholders
tsc,WST-BIN-5021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",5,Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies,knowledge,Strategies for alignment of different projects
tsc,WST-BIN-5021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",5,Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies,ability,Scope and plan projects in accordance with organisation requirements
tsc,WST-BIN-5021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",5,Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies,ability,Review progress and performance of individual projects and recommend actions for improvement
tsc,WST-BIN-5021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",5,Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies,ability,"Plan project budgets, and strategically control and allocate resources across multiple projects and modules"
tsc,WST-BIN-5021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",5,Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies,ability,"Manage large projects or multiple projects concurrently through the phases from definition, scoping, delivery and successful completion"
tsc,WST-BIN-5021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",5,Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies,knowledge,Resource management techniques
tsc,WST-BIN-5021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",5,Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies,knowledge,Performance review processes for projects
tsc,WST-BIN-5021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",5,Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies,knowledge,Project budget planning
tsc,WST-BIN-5021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",5,Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies,knowledge,"Project risk anticipation, mitigation and planning"
tsc,WST-BIN-5021-1.1,Wholesale Trade,Project Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",5,Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies,ability,Determine appropriate methodologies and tools to ensure that they are fit-for-purpose
tsc,WST-PMT-4001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,4,"Conduct project level manpower forecasts to bridge gaps between manpower demand and supply, and facilitate development of recruitment strategies",ability,Review productivity metrics of existing contractors
tsc,WST-PMT-4001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,4,"Conduct project level manpower forecasts to bridge gaps between manpower demand and supply, and facilitate development of recruitment strategies",knowledge,Parameters for accurate forecasting
tsc,WST-PMT-4001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,4,"Conduct project level manpower forecasts to bridge gaps between manpower demand and supply, and facilitate development of recruitment strategies",knowledge,Statistical analysis techniques for reviewing capacity and capability of existing workforce
tsc,WST-PMT-4001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,4,"Conduct project level manpower forecasts to bridge gaps between manpower demand and supply, and facilitate development of recruitment strategies",ability,Develop manpower forecast based on job roles and positions required
tsc,WST-PMT-4001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,4,"Conduct project level manpower forecasts to bridge gaps between manpower demand and supply, and facilitate development of recruitment strategies",knowledge,Techniques of manpower modelling
tsc,WST-PMT-4001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,4,"Conduct project level manpower forecasts to bridge gaps between manpower demand and supply, and facilitate development of recruitment strategies",knowledge,Factors influencing future manpower demand
tsc,WST-PMT-4001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,4,"Conduct project level manpower forecasts to bridge gaps between manpower demand and supply, and facilitate development of recruitment strategies",knowledge,Organisation's human resources capabilities and people strategies
tsc,WST-PMT-4001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,4,"Conduct project level manpower forecasts to bridge gaps between manpower demand and supply, and facilitate development of recruitment strategies",knowledge,Methods to identify elasticities of substitution in headcounts and skills
tsc,WST-PMT-4001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,4,"Conduct project level manpower forecasts to bridge gaps between manpower demand and supply, and facilitate development of recruitment strategies",ability,Adapt mathematical models to conduct statistical analyses of manpower demand
tsc,WST-PMT-4001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,4,"Conduct project level manpower forecasts to bridge gaps between manpower demand and supply, and facilitate development of recruitment strategies",ability,Review workforce execution plans needed to meet project and/or functional objectives
tsc,WST-PMT-4009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,4,"Assess the business environment and organisational capabilities and prepare financial projections, as well as report findings to relevant stakeholders",knowledge,Assumptions of financial models
tsc,WST-PMT-4009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,4,"Assess the business environment and organisational capabilities and prepare financial projections, as well as report findings to relevant stakeholders",ability,Prepare financial projections to facilitate project feasibility assessment
tsc,WST-PMT-4009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,4,"Assess the business environment and organisational capabilities and prepare financial projections, as well as report findings to relevant stakeholders",ability,Report findings to relevant stakeholders in accordance with organisational procedures to ensure stakeholders are updated and consulted
tsc,WST-PMT-4009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,4,"Assess the business environment and organisational capabilities and prepare financial projections, as well as report findings to relevant stakeholders",ability,Assess organisational capabilities to assist in project feasibility determination
tsc,WST-PMT-4009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,4,"Assess the business environment and organisational capabilities and prepare financial projections, as well as report findings to relevant stakeholders",knowledge,"Industry, business and competitor trends"
tsc,WST-PMT-4009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,4,"Assess the business environment and organisational capabilities and prepare financial projections, as well as report findings to relevant stakeholders",knowledge,Components of feasibility study reports
tsc,WST-PMT-4009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,4,"Assess the business environment and organisational capabilities and prepare financial projections, as well as report findings to relevant stakeholders",knowledge,Impacts of project feasibility studies on assessment process
tsc,WST-PMT-4009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,4,"Assess the business environment and organisational capabilities and prepare financial projections, as well as report findings to relevant stakeholders",ability,Seek feedback from direct report  to review project feasibility assessment and identify areas for improvement
tsc,WST-PMT-4009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,4,"Assess the business environment and organisational capabilities and prepare financial projections, as well as report findings to relevant stakeholders",ability,Assess the business environment to determine potential challenges faced
tsc,WST-PMT-4009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,4,"Assess the business environment and organisational capabilities and prepare financial projections, as well as report findings to relevant stakeholders",knowledge,Tools to evaluate business environment
tsc,WST-PMT-4009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,4,"Assess the business environment and organisational capabilities and prepare financial projections, as well as report findings to relevant stakeholders",knowledge,Methods to use and prepare assessment models
tsc,WST-PMT-4009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,4,"Assess the business environment and organisational capabilities and prepare financial projections, as well as report findings to relevant stakeholders",knowledge,Key cost-benefit indicators
tsc,WST-PMT-5001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,5,Formulate organisational manpower plans to bridge gaps between manpower demand and supply based on current and projected needs of the organisation,knowledge,"Organisation's products, policies and processes"
tsc,WST-PMT-5001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,5,Formulate organisational manpower plans to bridge gaps between manpower demand and supply based on current and projected needs of the organisation,knowledge,Types of Human Resource policies and procedures
tsc,WST-PMT-5001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,5,Formulate organisational manpower plans to bridge gaps between manpower demand and supply based on current and projected needs of the organisation,ability,Prepare contingency plans to meet the turn of economic and technological change circumstances
tsc,WST-PMT-5001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,5,Formulate organisational manpower plans to bridge gaps between manpower demand and supply based on current and projected needs of the organisation,ability,Review internal education and training programmes to verify manpower supply against future demand
tsc,WST-PMT-5001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,5,Formulate organisational manpower plans to bridge gaps between manpower demand and supply based on current and projected needs of the organisation,ability,Guide key stakeholders with information on how manpower decisions assist in achieving strategic organisational goals
tsc,WST-PMT-5001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,5,Formulate organisational manpower plans to bridge gaps between manpower demand and supply based on current and projected needs of the organisation,ability,Gather data to forecast demand of headcount and skills at organisational level
tsc,WST-PMT-5001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,5,Formulate organisational manpower plans to bridge gaps between manpower demand and supply based on current and projected needs of the organisation,knowledge,Models and methods for evaluating the effectiveness of manpower forecasting and planning
tsc,WST-PMT-5001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,5,Formulate organisational manpower plans to bridge gaps between manpower demand and supply based on current and projected needs of the organisation,ability,"Initiate changes to Human Resource activities, services and programmes"
tsc,WST-PMT-5001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,5,Formulate organisational manpower plans to bridge gaps between manpower demand and supply based on current and projected needs of the organisation,knowledge,Types of links between manpower plans and organisational strategies
tsc,WST-PMT-5001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,5,Formulate organisational manpower plans to bridge gaps between manpower demand and supply based on current and projected needs of the organisation,knowledge,Legal and ethical considerations affecting manpower policies
tsc,WST-PMT-5001-1.1,Wholesale Trade,Project Management,Manpower Planning,Estimate and fulfil manpower requirements to achieve business goals and targets,5,Formulate organisational manpower plans to bridge gaps between manpower demand and supply based on current and projected needs of the organisation,knowledge,Types of workforce trends that impact organisational performance
tsc,WST-PMT-5009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,5,"Evaluate and determine feasibility of projects for the organisation, recommend the authorisation of projects and evaluate business environment, cost and organisation capabilities to determine project feasibility",knowledge,Assumptions of financial models
tsc,WST-PMT-5009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,5,"Evaluate and determine feasibility of projects for the organisation, recommend the authorisation of projects and evaluate business environment, cost and organisation capabilities to determine project feasibility",knowledge,Key cost-benefit indicators
tsc,WST-PMT-5009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,5,"Evaluate and determine feasibility of projects for the organisation, recommend the authorisation of projects and evaluate business environment, cost and organisation capabilities to determine project feasibility",ability,Evaluate alignment of project with organisational objectives to determine project feasibility
tsc,WST-PMT-5009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,5,"Evaluate and determine feasibility of projects for the organisation, recommend the authorisation of projects and evaluate business environment, cost and organisation capabilities to determine project feasibility",knowledge,Project objectives and scope
tsc,WST-PMT-5009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,5,"Evaluate and determine feasibility of projects for the organisation, recommend the authorisation of projects and evaluate business environment, cost and organisation capabilities to determine project feasibility",ability,Evaluate the business environment to determine potential challenges faced
tsc,WST-PMT-5009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,5,"Evaluate and determine feasibility of projects for the organisation, recommend the authorisation of projects and evaluate business environment, cost and organisation capabilities to determine project feasibility",ability,Recommend authorisation of projects in accordance with feasibility assessment results to support organisational objectives
tsc,WST-PMT-5009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,5,"Evaluate and determine feasibility of projects for the organisation, recommend the authorisation of projects and evaluate business environment, cost and organisation capabilities to determine project feasibility",ability,Seek inputs from direct reporting  officer to add value to the project feasibility assessment findings and recommendations
tsc,WST-PMT-5009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,5,"Evaluate and determine feasibility of projects for the organisation, recommend the authorisation of projects and evaluate business environment, cost and organisation capabilities to determine project feasibility",ability,Propose project initiation decisions with supporting rationale
tsc,WST-PMT-5009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,5,"Evaluate and determine feasibility of projects for the organisation, recommend the authorisation of projects and evaluate business environment, cost and organisation capabilities to determine project feasibility",ability,Assess feasibility of carrying out project based on organisational capabilities to determine project feasibility
tsc,WST-PMT-5009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,5,"Evaluate and determine feasibility of projects for the organisation, recommend the authorisation of projects and evaluate business environment, cost and organisation capabilities to determine project feasibility",knowledge,Measures of project benefits and outcomes
tsc,WST-PMT-5009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,5,"Evaluate and determine feasibility of projects for the organisation, recommend the authorisation of projects and evaluate business environment, cost and organisation capabilities to determine project feasibility",knowledge,"Industry, business and competitor trends"
tsc,WST-PMT-5009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,5,"Evaluate and determine feasibility of projects for the organisation, recommend the authorisation of projects and evaluate business environment, cost and organisation capabilities to determine project feasibility",knowledge,Tools to evaluate business environment
tsc,WST-PMT-5009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,5,"Evaluate and determine feasibility of projects for the organisation, recommend the authorisation of projects and evaluate business environment, cost and organisation capabilities to determine project feasibility",ability,Report findings to relevant stakeholders
tsc,WST-PMT-5009-1.1,Wholesale Trade,Project Management,Project Feasibility Assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project,5,"Evaluate and determine feasibility of projects for the organisation, recommend the authorisation of projects and evaluate business environment, cost and organisation capabilities to determine project feasibility",ability,Evaluate organisational capabilities for project feasibility determination
tsc,WST-QUA-2013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,2,Identify quality assurance (QA) parameters and procedures for process and products to be monitored and maintained so as to assist in QA data checks and report non-conformances,knowledge,QA parameters and procedures for processes and products
tsc,WST-QUA-2013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,2,Identify quality assurance (QA) parameters and procedures for process and products to be monitored and maintained so as to assist in QA data checks and report non-conformances,ability,Identify QA data check in accordance with procedures
tsc,WST-QUA-2013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,2,Identify quality assurance (QA) parameters and procedures for process and products to be monitored and maintained so as to assist in QA data checks and report non-conformances,knowledge,Non-conformance procedures
tsc,WST-QUA-2013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,2,Identify quality assurance (QA) parameters and procedures for process and products to be monitored and maintained so as to assist in QA data checks and report non-conformances,knowledge,Types of quality gaps and defects
tsc,WST-QUA-2013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,2,Identify quality assurance (QA) parameters and procedures for process and products to be monitored and maintained so as to assist in QA data checks and report non-conformances,ability,Identify and report non-conformance
tsc,WST-QUA-2013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,2,Identify quality assurance (QA) parameters and procedures for process and products to be monitored and maintained so as to assist in QA data checks and report non-conformances,ability,Identify the steps involved in QA parameters monitoring
tsc,WST-QUA-3013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,3,Interpret quality assurance (QA) parameters and procedures for processes and products to perform QA monitoring and to take appropriate actions for non-conformance results,knowledge,Methods of managing non-conformance
tsc,WST-QUA-3013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,3,Interpret quality assurance (QA) parameters and procedures for processes and products to perform QA monitoring and to take appropriate actions for non-conformance results,ability,Take corrective actions for non-conformance results
tsc,WST-QUA-3013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,3,Interpret quality assurance (QA) parameters and procedures for processes and products to perform QA monitoring and to take appropriate actions for non-conformance results,knowledge,"Types of quality data, statistic collection tools and methodologies"
tsc,WST-QUA-3013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,3,Interpret quality assurance (QA) parameters and procedures for processes and products to perform QA monitoring and to take appropriate actions for non-conformance results,ability,Perform QA parameters monitoring
tsc,WST-QUA-3013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,3,Interpret quality assurance (QA) parameters and procedures for processes and products to perform QA monitoring and to take appropriate actions for non-conformance results,ability,Assist to identify potential quality issues with production processes and products
tsc,WST-QUA-3013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,3,Interpret quality assurance (QA) parameters and procedures for processes and products to perform QA monitoring and to take appropriate actions for non-conformance results,knowledge,Types of process equipment and production workflows
tsc,WST-QUA-3013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,3,Interpret quality assurance (QA) parameters and procedures for processes and products to perform QA monitoring and to take appropriate actions for non-conformance results,knowledge,QA parameters and procedures for processes and products
tsc,WST-QUA-3013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,3,Interpret quality assurance (QA) parameters and procedures for processes and products to perform QA monitoring and to take appropriate actions for non-conformance results,knowledge,Requirements for organisational Quality Management System (QMS)
tsc,WST-QUA-3013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,3,Interpret quality assurance (QA) parameters and procedures for processes and products to perform QA monitoring and to take appropriate actions for non-conformance results,ability,Present information and evidence of compliance during audits
tsc,WST-QUA-3013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,3,Interpret quality assurance (QA) parameters and procedures for processes and products to perform QA monitoring and to take appropriate actions for non-conformance results,knowledge,Methods of identifying quality gaps and defects
tsc,WST-QUA-3013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,3,Interpret quality assurance (QA) parameters and procedures for processes and products to perform QA monitoring and to take appropriate actions for non-conformance results,ability,Input QA monitoring and check results into data recording systems
tsc,WST-QUA-3013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,3,Interpret quality assurance (QA) parameters and procedures for processes and products to perform QA monitoring and to take appropriate actions for non-conformance results,ability,Perform QA data checks in accordance with procedures
tsc,WST-QUA-4013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,4,Establish quality assurance (QA) procedures to review QA performance against organisational quality targets and to investigate non-conformances,knowledge,Data analysis techniques
tsc,WST-QUA-4013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,4,Establish quality assurance (QA) procedures to review QA performance against organisational quality targets and to investigate non-conformances,knowledge,Quality system auditing methods
tsc,WST-QUA-4013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,4,Establish quality assurance (QA) procedures to review QA performance against organisational quality targets and to investigate non-conformances,ability,Review raw data requirements and identify action plans
tsc,WST-QUA-4013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,4,Establish quality assurance (QA) procedures to review QA performance against organisational quality targets and to investigate non-conformances,knowledge,QA monitoring methods
tsc,WST-QUA-4013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,4,Establish quality assurance (QA) procedures to review QA performance against organisational quality targets and to investigate non-conformances,ability,Analyse trends in the quality performance of the manufacturing facility to identify gaps
tsc,WST-QUA-4013-1.1,Wholesale Trade,Quality Assurance and Quality Control (QA & QC) Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,4,Establish quality assurance (QA) procedures to review QA performance against organisational quality targets and to investigate non-conformances,knowledge,Data collection processes and procedures
