TSC Code,Sector,TSC_CCS Category,TSC_CCS Title,TSC_CCS Description,TSC_CCS Type
AER-ACO-2039-1.1,Aerospace,Special Processes,Non-destructive Testing (Magnetic Particle Inspection),"Perform magnetic particle inspections on components using appropriate tools, equipment, materials and methods meeting requirements and in accordance with organisational procedures",tsc
AER-ACO-2040-1.1,Aerospace,Special Processes,Non-destructive Testing (Radiographic Inspection),"Perform radiographic inspections on components using appropriate tools, equipment, materials and methods meeting requirements and in accordance with organisational procedures.",tsc
AER-ACO-2041-1.1,Aerospace,Special Processes,Non-destructive Testing (Ultrasonic Inspection),"Perform ultrasonic inspections on components using appropriate tools, equipment, materials and methods meeting requirements and in accordance with organisational procedures.",tsc
AER-ACO-2042-1.1,Aerospace,Special Processes,Non-destructive Testing (Vibration Analysis),"Perform vibration analyses on components using appropriate tools, equipment, and methods meeting requirements and in accordance with organisational procedures.",tsc
AER-ACO-2044-1.1,Aerospace,Special Processes,Non-metallic Materials Manufacturing,"Manufacture non-metallic aircraft components and structures using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures",tsc
AER-ACO-2045-1.1,Aerospace,Special Processes,Non-metallic Materials Testing,"Conduct non-metallic materials testing (NMMT) to evaluate compatibility and durability of non-metallic materials using appropriate tools, equipment, materials and methods, and record test results obtained in accordance with the applicable standards and organisational procedures",tsc
AER-ACO-2046-1.1,Aerospace,Special Processes,Sealants Process,"Perform sealants applications on aircraft parts and components using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures",tsc
AER-ACO-2047-1.1,Aerospace,Special Processes,Surface Enhancement,"Perform appropriate surface enhancement techniques to improve the functionality, performance and longevity of aircraft components. This involves adopting safe and healthy work practices, selection and use of appropriate equipment and tools according to the various types of surface enhancement processes, monitoring of operations and checking of treated components for conformity.",tsc
AER-ACO-2048-1.1-1,Aerospace,Special Processes,Aerospace Heat Treatment Process,"Perform heat treatment processes on aircraft parts and components using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures",tsc
AER-ACO-2049-1.1,Aerospace,Special Processes,Surface Preparation and Protection for Aerospace Manufacturing,"Apply appropriate surface preparation and protection techniques, based on surface material, operating conditions and maintenance requirements. This involves the adoption of safe and healthy work practices, selection and use of appropriate equipment and tools according to the various types of surface preparation and protection processes, monitoring of operations and checking of finished components for conformity.",tsc
AER-ACO-2050-1.1,Aerospace,Special Processes,Welding Process,"Perform welding operations using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures.",tsc
AER-ACO-3032-1.1,Aerospace,Special Processes,Chemical Processing,"Perform chemical processing applications on parts and components using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures",tsc
AER-ACO-3033-1.1,Aerospace,Special Processes,Coating,"Perform surface coating processes on parts and components using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures.",tsc
AER-ACO-3034-1.1,Aerospace,Special Processes,Composite Structures Design and Maintenance,"Design and maintain aircraft composite structures using appropriate resources. It includes designing composite structures and repair schemes, identifying composite defects as well as performing repairs in accordance with structural repair manuals and organisational procedures.",tsc
AER-ACO-3035-1.1,Aerospace,Special Processes,Elastomer Seals Application,"Perform elastomer seals applications on aircraft parts and components using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures",tsc
AER-ACO-3043-1.1,Aerospace,Special Processes,Non-destructive Testing Management,"Establish and approve non-destructive testing (NDT) procedures. This includes interpreting codes, standards, specifications and procedures, as well as designating the particular NDT methods, techniques and procedures to be used.",tsc
AER-ACO-3044-1.1,Aerospace,Special Processes,Non-metallic Materials Manufacturing,"Manufacture non-metallic aircraft components and structures using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures",tsc
AER-ACO-3045-1.1,Aerospace,Special Processes,Non-metallic Materials Testing,"Conduct non-metallic materials testing (NMMT) to evaluate compatibility and durability of non-metallic materials using appropriate tools, equipment, materials and methods, and record test results obtained in accordance with the applicable standards and organisational procedures",tsc
AER-ACO-3046-1.1,Aerospace,Special Processes,Sealants Process,"Perform sealants applications on aircraft parts and components using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures",tsc
AER-ACO-3047-1.1,Aerospace,Special Processes,Surface Enhancement,"Perform appropriate surface enhancement techniques to improve the functionality, performance and longevity of aircraft components. This involves adopting safe and healthy work practices, selection and use of appropriate equipment and tools according to the various types of surface enhancement processes, monitoring of operations and checking of treated components for conformity.",tsc
AER-ACO-3048-1.1-1,Aerospace,Special Processes,Aerospace Heat Treatment Process,"Perform heat treatment processes on aircraft parts and components using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures",tsc
AER-ACO-3049-1.1,Aerospace,Special Processes,Surface Preparation and Protection for Aerospace Manufacturing,"Apply appropriate surface preparation and protection techniques, based on surface material, operating conditions and maintenance requirements. This involves the adoption of safe and healthy work practices, selection and use of appropriate equipment and tools according to the various types of surface preparation and protection processes, monitoring of operations and checking of finished components for conformity.",tsc
AER-ACO-3050-1.1,Aerospace,Special Processes,Welding Process,"Perform welding operations using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures.",tsc
AER-ACO-4034-1.1,Aerospace,Special Processes,Composite Structures Design and Maintenance,"Design and maintain aircraft composite structures using appropriate resources. It includes designing composite structures and repair schemes, identifying composite defects as well as performing repairs in accordance with structural repair manuals and organisational procedures.",tsc
AER-ACO-4043-1.1,Aerospace,Special Processes,Non-destructive Testing Management,"Establish and approve non-destructive testing (NDT) procedures. This includes interpreting codes, standards, specifications and procedures, as well as designating the particular NDT methods, techniques and procedures to be used.",tsc
AER-ACO-4044-1.1,Aerospace,Special Processes,Non-metallic Materials Manufacturing,"Manufacture non-metallic aircraft components and structures using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures",tsc
AER-ACO-4048-1.1,Aerospace,Special Processes,Aerospace Heat Treatment Process,"Perform heat treatment processes on aircraft parts and components using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures",tsc
AER-ACO-4049-1.1,Aerospace,Special Processes,Surface Preparation and Protection for Aerospace Manufacturing,"Apply appropriate surface preparation and protection techniques, based on surface material, operating conditions and maintenance requirements. This involves the adoption of safe and healthy work practices, selection and use of appropriate equipment and tools according to the various types of surface preparation and protection processes, monitoring of operations and checking of finished components for conformity.",tsc
AER-ACO-4050-1.1,Aerospace,Special Processes,Welding Process,"Perform welding operations using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures.",tsc
AER-MAI-3024-1.1,Aerospace,Supply Chain Management,Asset Management,Formulate and implement the organisation's asset management policies to optimise asset life-cycles and performance.,tsc
AER-MAI-4024-1.1,Aerospace,Supply Chain Management,Asset Management,Formulate and implement the organisation's asset management policies to optimise asset life-cycles and performance.,tsc
AER-MAI-5024-1.1,Aerospace,Supply Chain Management,Asset Management,Formulate and implement the organisation's asset management policies to optimise asset life-cycles and performance.,tsc
AER-MAI-6024-1.1,Aerospace,Supply Chain Management,Asset Management,Formulate and implement the organisation's asset management policies to optimise asset life-cycles and performance.,tsc
AER-SPM-3005-1.1,Aerospace,Supply Chain Management,Supply Chain Solutioning,"Develop new operating models and solutions for customers, to manage their supply chain needs, as well as improve inventory levels, delivery time and cost saving",tsc
AER-SPM-4005-1.1,Aerospace,Supply Chain Management,Supply Chain Solutioning,"Develop new operating models and solutions for customers, to manage their supply chain needs, as well as improve inventory levels, delivery time and cost saving",tsc
AER-SPM-5005-1.1,Aerospace,Supply Chain Management,Supply Chain Solutioning,"Develop new operating models and solutions for customers, to manage their supply chain needs, as well as improve inventory levels, delivery time and cost saving",tsc
AER-SRM-3010-1.1,Aerospace,Supply Chain Management,Supplier Management and Capability Development,Implement supplier management and capability development strategies and plans to enhance performance and achieve service requirements,tsc
AER-SRM-4001-1.1,Aerospace,Supply Chain Management,Contract Development and Management,"Maximise the organisation's operational and financial performance by drafting contracts, negotiating contract terms and conditions, ensuring compliance with contract terms and conditions, and effecting amendments.",tsc
AER-SRM-4010-1.1,Aerospace,Supply Chain Management,Supplier Management and Capability Development,Implement supplier management and capability development strategies and plans to enhance performance and achieve service requirements,tsc
AER-SRM-5001-1.1,Aerospace,Supply Chain Management,Contract Development and Management,"Maximise the organisation's operational and financial performance by drafting contracts, negotiating contract terms and conditions, ensuring compliance with contract terms and conditions, and effecting amendments.",tsc
AER-SRM-5010-1.1,Aerospace,Supply Chain Management,Supplier Management and Capability Development,Implement supplier management and capability development strategies and plans to enhance performance and achieve service requirements,tsc
AER-SRM-6001-1.1,Aerospace,Supply Chain Management,Contract Development and Management,"Maximise the organisation's operational and financial performance by drafting contracts, negotiating contract terms and conditions, ensuring compliance with contract terms and conditions, and effecting amendments.",tsc
AER-TEM-3014-1.1,Aerospace,Supply Chain Management,Enterprise Database System Administration,"Manage database design, architecture, optimisation, deployment, troubleshooting as well as capacity planning, refinement of logical design, handling of back-up and recovery plans, in order to support business requirements",tsc
AER-TEM-4014-1.1,Aerospace,Supply Chain Management,Enterprise Database System Administration,"Manage database design, architecture, optimisation, deployment, troubleshooting as well as capacity planning, refinement of logical design, handling of back-up and recovery plans, in order to support business requirements",tsc
AER-TEM-5014-1.1,Aerospace,Supply Chain Management,Enterprise Database System Administration,"Manage database design, architecture, optimisation, deployment, troubleshooting as well as capacity planning, refinement of logical design, handling of back-up and recovery plans, in order to support business requirements",tsc
AER-WAM-1006-1.1,Aerospace,Supply Chain Management,Warehouse Inventory Control and Audit,"Regulate outflows and inflows of stocked items as well as shipment, loading and storage activities using inventory control systems, methodologies and tools",tsc
AER-WAM-2006-1.1,Aerospace,Supply Chain Management,Warehouse Inventory Control and Audit,"Regulate outflows and inflows of stocked items as well as shipment, loading and storage activities using inventory control systems, methodologies and tools",tsc
AER-WAM-3006-1.1,Aerospace,Supply Chain Management,Warehouse Inventory Control and Audit,"Regulate outflows and inflows of stocked items as well as shipment, loading and storage activities using inventory control systems, methodologies and tools",tsc
AER-WAM-4006-1.1,Aerospace,Supply Chain Management,Warehouse Inventory Control and Audit,"Regulate outflows and inflows of stocked items as well as shipment, loading and storage activities using inventory control systems, methodologies and tools",tsc
AER-WAM-5006-1.1,Aerospace,Supply Chain Management,Warehouse Inventory Control and Audit,"Regulate outflows and inflows of stocked items as well as shipment, loading and storage activities using inventory control systems, methodologies and tools",tsc
AER-DES-3044-1.1,Aerospace,Technical and Engineering Design,Computer-aided Design Application,"Use computer-aided design software and tools to design products, components and parts for manufacture",tsc
AER-DES-3045-1.1,Aerospace,Technical and Engineering Design,Engineering Product Design Facilitation,Facilitate the design of products to meet requirements for functionality and performance.,tsc
AER-DES-4044-1.1,Aerospace,Technical and Engineering Design,Computer-aided Design Application,"Use computer-aided design software and tools to design products, components and parts for manufacture",tsc
AER-DES-4045-1.1,Aerospace,Technical and Engineering Design,Engineering Product Design Facilitation,Facilitate the design of products to meet requirements for functionality and performance.,tsc
AER-DES-5044-1.1-1,Aerospace,Technical and Engineering Design,Computer-aided Design Application,"Use computer-aided design software and tools to design products, components and parts for manufacture",tsc
AER-DES-5045-1.1,Aerospace,Technical and Engineering Design,Engineering Product Design Facilitation,Facilitate the design of products to meet requirements for functionality and performance.,tsc
AER-DES-6045-1.1,Aerospace,Technical and Engineering Design,Engineering Product Design Facilitation,Facilitate the design of products to meet requirements for functionality and performance.,tsc
AER-OPR-1026-1.1-1,Aerospace,Technical and Engineering Design,"Engineering Drawing, Interpretation and Management","Use engineering drawings and documentation describing layout, location, interconnection, design and operational parameters, and operating and safety design limits to support engineering activities",tsc
AER-OPR-2026-1.1-1,Aerospace,Technical and Engineering Design,"Engineering Drawing, Interpretation and Management","Use engineering drawings and documentation describing layout, location, interconnection, design and operational parameters, and operating and safety design limits to support engineering activities",tsc
AER-OPR-3026-1.1-1,Aerospace,Technical and Engineering Design,"Engineering Drawing, Interpretation and Management","Use engineering drawings and documentation describing layout, location, interconnection, design and operational parameters, and operating and safety design limits to support engineering activities",tsc
AER-OPR-4026-1.1-1,Aerospace,Technical and Engineering Design,"Engineering Drawing, Interpretation and Management","Use engineering drawings and documentation describing layout, location, interconnection, design and operational parameters, and operating and safety design limits to support engineering activities",tsc
AER-CTS-1001-1.1,Aerospace,Technology Management,Augmented Reality Application,Facilitate the design and implementation of augmented reality applications to increase efficiency of work processes,tsc
AER-CTS-2001-1.1,Aerospace,Technology Management,Augmented Reality Application,Facilitate the design and implementation of augmented reality applications to increase efficiency of work processes,tsc
AER-CTS-3001-1.1,Aerospace,Technology Management,Augmented Reality Application,Facilitate the design and implementation of augmented reality applications to increase efficiency of work processes,tsc
AER-DAT-3006-1.1,Aerospace,Technology Management,Data Synthesis,Analyse factory automation and manufacturing data to monitor the manufacturing processes for operations and product or process flow optimisation,tsc
AER-DAT-3024-1.1,Aerospace,Technology Management,Big Data Analytics,Analyse and validate significant volumes of data to discover and quantify patterns and trends to improve business operations,tsc
AER-DAT-4006-1.1,Aerospace,Technology Management,Data Synthesis,Analyse factory automation and manufacturing data to monitor the manufacturing processes for operations and product or process flow optimisation,tsc
AER-DAT-4024-1.1,Aerospace,Technology Management,Big Data Analytics,Analyse and validate significant volumes of data to discover and quantify patterns and trends to improve business operations,tsc
AER-DAT-5006-1.1,Aerospace,Technology Management,Data Synthesis,Analyse factory automation and manufacturing data to monitor the manufacturing processes for operations and product or process flow optimisation,tsc
AER-DAT-5024-1.1,Aerospace,Technology Management,Big Data Analytics,Analyse and validate significant volumes of data to discover and quantify patterns and trends to improve business operations,tsc
AER-DAT-6006-1.1,Aerospace,Technology Management,Data Synthesis,Analyse factory automation and manufacturing data to monitor the manufacturing processes for operations and product or process flow optimisation,tsc
AER-DAT-6024-1.1,Aerospace,Technology Management,Big Data Analytics,Analyse and validate significant volumes of data to discover and quantify patterns and trends to improve business operations,tsc
AER-OPR-2012-1.1,Aerospace,Technology Management,Additive Manufacturing,Design and apply additive manufacturing workflows to create three-dimensional objects,tsc
AER-OPR-2020-1.1,Aerospace,Technology Management,Robotics and Automation Application,Integrate automation technologies and robotic systems to enhance precision and productivity and reduce reliance on manual tasks,tsc
AER-OPR-3012-1.1,Aerospace,Technology Management,Additive Manufacturing,Design and apply additive manufacturing workflows to create three-dimensional objects,tsc
AER-OPR-3020-1.1,Aerospace,Technology Management,Robotics and Automation Application,Integrate automation technologies and robotic systems to enhance precision and productivity and reduce reliance on manual tasks,tsc
AER-OPR-4012-1.1,Aerospace,Technology Management,Additive Manufacturing,Design and apply additive manufacturing workflows to create three-dimensional objects,tsc
AER-OPR-4020-1.1,Aerospace,Technology Management,Robotics and Automation Application,Integrate automation technologies and robotic systems to enhance precision and productivity and reduce reliance on manual tasks,tsc
AER-OPR-5012-1.1,Aerospace,Technology Management,Additive Manufacturing,Design and apply additive manufacturing workflows to create three-dimensional objects,tsc
AER-OPR-5020-1.1,Aerospace,Technology Management,Robotics and Automation Application,Integrate automation technologies and robotic systems to enhance precision and productivity and reduce reliance on manual tasks,tsc
AER-OPR-6012-1.1,Aerospace,Technology Management,Additive Manufacturing,Design and apply additive manufacturing workflows to create three-dimensional objects,tsc
AER-OPR-6020-1.1,Aerospace,Technology Management,Robotics and Automation Application,Integrate automation technologies and robotic systems to enhance precision and productivity and reduce reliance on manual tasks,tsc
AER-RAO-2003-1.1,Aerospace,Technology Management,Automated System Design,Design and commission automated systems,tsc
AER-RAO-3003-1.1,Aerospace,Technology Management,Automated System Design,Design and commission automated systems,tsc
AER-RAO-3004-1.1,Aerospace,Technology Management,Automation Process Control,Apply automation process control to monitor performance metrics and quality of manufacturing outputs to determine the optimal settings as well as productivity improvement strategies,tsc
AER-RAO-4003-1.1,Aerospace,Technology Management,Automated System Design,Design and commission automated systems,tsc
AER-RAO-4004-1.1,Aerospace,Technology Management,Automation Process Control,Apply automation process control to monitor performance metrics and quality of manufacturing outputs to determine the optimal settings as well as productivity improvement strategies,tsc
AER-RAO-5003-1.1-1,Aerospace,Technology Management,Automated System Design,Design and commission automated systems,tsc
AER-RAO-5004-1.1,Aerospace,Technology Management,Automation Process Control,Apply automation process control to monitor performance metrics and quality of manufacturing outputs to determine the optimal settings as well as productivity improvement strategies,tsc
AER-RAO-6004-1.1,Aerospace,Technology Management,Automation Process Control,Apply automation process control to monitor performance metrics and quality of manufacturing outputs to determine the optimal settings as well as productivity improvement strategies,tsc
AER-SNA-4007-1.1,Aerospace,Technology Management,Cyber Risk Management,"Develop cyber risk assessment and treatment techniques that can effectively pre-empt and identify significant security loopholes and weaknesses, demonstration of the business risks associated with these loopholes and provision of risk treatment and prioritisation strategies to effectively address the cyber-related risks, threats and vulnerabilities identified to ensure appropriate levels of protection, confidentiality, integrity and privacy in alignment with the security framework",tsc
AER-SNA-5007-1.1,Aerospace,Technology Management,Cyber Risk Management,"Develop cyber risk assessment and treatment techniques that can effectively pre-empt and identify significant security loopholes and weaknesses, demonstration of the business risks associated with these loopholes and provision of risk treatment and prioritisation strategies to effectively address the cyber-related risks, threats and vulnerabilities identified to ensure appropriate levels of protection, confidentiality, integrity and privacy in alignment with the security framework",tsc
AER-SNA-6007-1.1,Aerospace,Technology Management,Cyber Risk Management,"Develop cyber risk assessment and treatment techniques that can effectively pre-empt and identify significant security loopholes and weaknesses, demonstration of the business risks associated with these loopholes and provision of risk treatment and prioritisation strategies to effectively address the cyber-related risks, threats and vulnerabilities identified to ensure appropriate levels of protection, confidentiality, integrity and privacy in alignment with the security framework",tsc
AER-TEM-2030-1.1,Aerospace,Technology Management,Internet of Things Implementation,"Interrelate computing devices, equipment and machines data in a networked environment to provide specific solutions",tsc
AER-TEM-3026-1.1,Aerospace,Technology Management,Artificial Intelligence Application,"Apply algorithmic, statistical and engineering knowledge to integrate artificial intelligence into engineering processes",tsc
AER-TEM-3030-1.1,Aerospace,Technology Management,Internet of Things Implementation,"Interrelate computing devices, equipment and machines data in a networked environment to provide specific solutions",tsc
AER-TEM-4026-1.1,Aerospace,Technology Management,Artificial Intelligence Application,"Apply algorithmic, statistical and engineering knowledge to integrate artificial intelligence into engineering processes",tsc
AER-TEM-4030-1.1,Aerospace,Technology Management,Internet of Things Implementation,"Interrelate computing devices, equipment and machines data in a networked environment to provide specific solutions",tsc
AER-TEM-5026-1.1,Aerospace,Technology Management,Artificial Intelligence Application,"Apply algorithmic, statistical and engineering knowledge to integrate artificial intelligence into engineering processes",tsc
AER-TEM-5030-1.1,Aerospace,Technology Management,Internet of Things Implementation,"Interrelate computing devices, equipment and machines data in a networked environment to provide specific solutions",tsc
AER-TEM-6026-1.1,Aerospace,Technology Management,Artificial Intelligence Application,"Apply algorithmic, statistical and engineering knowledge to integrate artificial intelligence into engineering processes",tsc
AGR-ACE-3004-1.1-1,Agrifood,Business Management,Market Research,"Formulate market research frameworks, as well as develop market research study objectives, market research plans and methodologies to analyse market trends and developments to forecast emerging market needs",tsc
AGR-ACE-4004-1.1-1,Agrifood,Business Management,Market Research,"Formulate market research frameworks, as well as develop market research study objectives, market research plans and methodologies to analyse market trends and developments to forecast emerging market needs",tsc
AGR-BIN-4013-1.1,Agrifood,Business Management,Business Continuity Management,"Execute business impact analysis, risk analysis, testing and exercising to ensure the currency of the organisation's business continuity plans",tsc
AGR-BIN-5013-1.1-1,Agrifood,Business Management,Business Continuity Management,"Execute business impact analysis, risk analysis, testing and exercising to ensure the currency of the organisation's business continuity plans",tsc
AGR-CFC-4003-1.1,Agrifood,Business Management,Business Opportunities Development,Identify new business opportunities to better meet the needs of existing markets and bring benefits to the organisation,tsc
AGR-CFC-5003-1.1,Agrifood,Business Management,Business Opportunities Development,Identify new business opportunities to better meet the needs of existing markets and bring benefits to the organisation,tsc
AGR-FIN-3001-1.1,Agrifood,Business Management,Budgeting,"Preparing organisational budgets to support short and long-term business plans through forecasting, allocation and financial policy setting",tsc
AGR-FIN-4001-1.1,Agrifood,Business Management,Budgeting,"Preparing organisational budgets to support short and long-term business plans through forecasting, allocation and financial policy setting",tsc
AGR-LDR-3003-1.1,Agrifood,Business Management,Financial Management,Manage organisation's finance to aid business growth and operations,tsc
AGR-LDR-4003-1.1,Agrifood,Business Management,Financial Management,Manage organisation's finance to aid business growth and operations,tsc
AGR-LDR-5003-1.1,Agrifood,Business Management,Financial Management,Manage organisation's finance to aid business growth and operations,tsc
AGR-ENV-4001-1.1,Agrifood,Environmental Sustainability,Carbon Footprint Management,Quantify and reduce the organisational carbon footprint,tsc
AGR-ENV-5001-1.1,Agrifood,Environmental Sustainability,Carbon Footprint Management,Quantify and reduce the organisational carbon footprint,tsc
AGR-FOP-2002-1.1,Agrifood,Farming Operations,Urban Farming Implementation and Management,"Develop strategic farm operational plan, manage and implement the day-to-day farming operations, management of farming equipment and machinery housekeeping and maintenance",tsc
AGR-FOP-2003-1.1,Agrifood,Farming Operations,Agriculture Techniques and Cultivation Programme Management,"Apply agriculture principles and techniques to cultivate and grow produce, incorporating agritechnologies and processes to optimise yield in accordance with business objectives",tsc
AGR-FOP-2004-1.1,Agrifood,Farming Operations,Aquaculture Techniques and Breeding Programme Management,"Apply aquaculture principles and techniques to rear aquatic food animals, incorporating aquatechnologies and processes to optimise yield in accordance with business objectives",tsc
AGR-FOP-3001-1.1,Agrifood,Farming Operations,Farm Biosecurity Compliance and Management,Develop and implement farm biosecurity management plans to control and mitigate environmental and biosecurity risks in farming operations in accordance with industry regulations and standards and to meet organisational business goals,tsc
AGR-FOP-3002-1.1,Agrifood,Farming Operations,Urban Farming Implementation and Management,"Develop strategic farm operational plan, manage and implement the day-to-day farming operations, management of farming equipment and machinery housekeeping and maintenance",tsc
AGR-FOP-3003-1.1,Agrifood,Farming Operations,Agriculture Techniques and Cultivation Programme Management,"Apply agriculture principles and techniques to cultivate and grow produce, incorporating agritechnologies and processes to optimise yield in accordance with business objectives",tsc
AGR-FOP-3004-1.1,Agrifood,Farming Operations,Aquaculture Techniques and Breeding Programme Management,"Apply aquaculture principles and techniques to rear aquatic food animals, incorporating aquatechnologies and processes to optimise yield in accordance with business objectives",tsc
AGR-FOP-4001-1.1,Agrifood,Farming Operations,Farm Biosecurity Compliance and Management,Develop and implement farm biosecurity management plans to control and mitigate environmental and biosecurity risks in farming operations in accordance with industry regulations and standards and to meet organisational business goals,tsc
AGR-FOP-4002-1.1,Agrifood,Farming Operations,Urban Farming Implementation and Management,"Develop strategic farm operational plan, manage and implement the day-to-day farming operations, management of farming equipment and machinery housekeeping and maintenance",tsc
AGR-FOP-4003-1.1,Agrifood,Farming Operations,Agriculture Techniques and Cultivation Programme Management,"Apply agriculture principles and techniques to cultivate and grow produce, incorporating agritechnologies and processes to optimise yield in accordance with business objectives",tsc
AGR-FOP-4004-1.1,Agrifood,Farming Operations,Aquaculture Techniques and Breeding Programme Management,"Apply aquaculture principles and techniques to rear aquatic food animals, incorporating aquatechnologies and processes to optimise yield in accordance with business objectives",tsc
AGR-FOP-5001-1.1,Agrifood,Farming Operations,Farm Biosecurity Compliance and Management,Develop and implement farm biosecurity management plans to control and mitigate environmental and biosecurity risks in farming operations in accordance with industry regulations and standards and to meet organisational business goals,tsc
AGR-FOP-5002-1.1,Agrifood,Farming Operations,Urban Farming Implementation and Management,"Develop strategic farm operational plan, manage and implement the day-to-day farming operations, management of farming equipment and machinery housekeeping and maintenance",tsc
AGR-RND-2007-1.1,Agrifood,Farming Operations,Active and Smart Packaging,"Application of active/smart packaging methodology and processes to improve shelf-life, quality and safety of food product",tsc
AGR-RND-3007-1.1,Agrifood,Farming Operations,Active and Smart Packaging,"Application of active/smart packaging methodology and processes to improve shelf-life, quality and safety of food product",tsc
AGR-RND-4007-1.1,Agrifood,Farming Operations,Active and Smart Packaging,"Application of active/smart packaging methodology and processes to improve shelf-life, quality and safety of food product",tsc
AGR-FRC-1002-1.1,Agrifood,Food Regulatory Compliance,Food Safety Management,Implement hygiene and food safety practices in food manufacturing,tsc
AGR-FRC-1004-1.1,Agrifood,Food Regulatory Compliance,Food Safety and Hygiene,"Implement and observe food safety and hygiene policies, identify areas for improvement following hygiene audits, develop and audit food safety and hygiene management systems.",tsc
AGR-FRC-2001-1.1,Agrifood,Food Regulatory Compliance,Food Safety Analysis,Apply methods to analyse ingredients and manufactured products for safety and quality management,tsc
AGR-FRC-2002-1.1,Agrifood,Food Regulatory Compliance,Food Safety Management,Implement hygiene and food safety practices in food manufacturing,tsc
AGR-FRC-2004-1.1,Agrifood,Food Regulatory Compliance,Food Safety and Hygiene,"Implement and observe food safety and hygiene policies, identify areas for improvement following hygiene audits, develop and audit food safety and hygiene management systems.",tsc
AGR-FRC-3001-1.1,Agrifood,Food Regulatory Compliance,Food Safety Analysis,Apply methods to analyse ingredients and manufactured products for safety and quality management,tsc
AGR-FRC-3002-1.1,Agrifood,Food Regulatory Compliance,Food Safety Management,Implement hygiene and food safety practices in food manufacturing,tsc
AGR-FRC-3004-1.1,Agrifood,Food Regulatory Compliance,Food Safety and Hygiene,"Implement and observe food safety and hygiene policies, identify areas for improvement following hygiene audits, develop and audit food safety and hygiene management systems.",tsc
AGR-FRC-4001-1.1,Agrifood,Food Regulatory Compliance,Food Safety Analysis,Apply methods to analyse ingredients and manufactured products for safety and quality management,tsc
AGR-FRC-4002-1.1,Agrifood,Food Regulatory Compliance,Food Safety Management,Implement hygiene and food safety practices in food manufacturing,tsc
AGR-FRC-4004-1.1,Agrifood,Food Regulatory Compliance,Food Safety and Hygiene,"Implement and observe food safety and hygiene policies, identify areas for improvement following hygiene audits, develop and audit food safety and hygiene management systems.",tsc
AGR-LDR-2006-1.1,Agrifood,Infocomm Technology,Data and Statistical Analytics,Identify data sets for application of statistical techniques to analyse and interpret large complex data to uncover trends or patterns in order to locate and define new process improvement opportunities,tsc
AGR-LDR-3006-1.1,Agrifood,Infocomm Technology,Data and Statistical Analytics,Identify data sets for application of statistical techniques to analyse and interpret large complex data to uncover trends or patterns in order to locate and define new process improvement opportunities,tsc
AGR-LDR-4006-1.1,Agrifood,Infocomm Technology,Data and Statistical Analytics,Identify data sets for application of statistical techniques to analyse and interpret large complex data to uncover trends or patterns in order to locate and define new process improvement opportunities,tsc
AGR-MAI-1027-1.1,Agrifood,Maintenance Management,Equipment Maintenance and Housekeeping,Maintain and upkeep tools and equipment and implement organisational housekeeping practices,tsc
AGR-MAI-2027-1.1,Agrifood,Maintenance Management,Equipment Maintenance and Housekeeping,Maintain and upkeep tools and equipment and implement organisational housekeeping practices,tsc
AGR-MAI-3027-1.1,Agrifood,Maintenance Management,Equipment Maintenance and Housekeeping,Maintain and upkeep tools and equipment and implement organisational housekeeping practices,tsc
AGR-PIN-1006-1.1,Agrifood,Quality Management,Continuous Process Improvement,"Apply continuous improvement processes to improve products, services or processes seeking incremental improvement over time or breakthrough improvement all at once",tsc
AGR-PIN-2006-1.1,Agrifood,Quality Management,Continuous Process Improvement,"Apply continuous improvement processes to improve products, services or processes seeking incremental improvement over time or breakthrough improvement all at once",tsc
AGR-PIN-3006-1.1,Agrifood,Quality Management,Continuous Process Improvement,"Apply continuous improvement processes to improve products, services or processes seeking incremental improvement over time or breakthrough improvement all at once",tsc
AGR-PIN-4006-1.1,Agrifood,Quality Management,Continuous Process Improvement,"Apply continuous improvement processes to improve products, services or processes seeking incremental improvement over time or breakthrough improvement all at once",tsc
AGR-QUA-2045-1.1,Agrifood,Quality Management,Good Agriculture Practices Implementation,"Establish and implement Good Agriculture Practices into organisational culture in the design, monitoring and control of farming processes and facilities management",tsc
AGR-QUA-3038-1.1,Agrifood,Quality Management,Quality Assurance Management,Establish and implement Quality Assurance procedures and conduct audits to ensure compliance with food safety and legislative requirements,tsc
AGR-QUA-3045-1.1,Agrifood,Quality Management,Good Agriculture Practices Implementation,"Establish and implement Good Agriculture Practices into organisational culture in the design, monitoring and control of farming processes and facilities management",tsc
